                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0761,                0.67629,                 1.2746,                0.82477,                0.63951,                0.68973,                0.37776,                 1.3754,                0.87186,                 1.5503,              0.0001634,              0.0001634,              0.0001634
                     36,                 1.0817,                0.67456,                 1.2732,                0.79047,                0.64056,                0.67899,                0.36962,                 1.3683,                0.86764,                 1.5514,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.0783,                 0.6762,                 1.2754,                0.79788,                0.65229,                0.69472,                0.37632,                 1.3493,                0.85745,                 1.5438,              0.0001436,              0.0001436,              0.0001436
                     38,                 1.0682,                 0.6666,                 1.2717,                0.83642,                0.63726,                0.69683,                0.37873,                  1.361,                0.86162,                 1.5481,              0.0001337,              0.0001337,              0.0001337
                     39,                 1.0603,                0.66286,                 1.2619,                0.77323,                0.65533,                0.69592,                0.37999,                 1.3604,                0.85228,                  1.553,              0.0001238,              0.0001238,              0.0001238
                     40,                 1.0696,                0.66292,                 1.2663,                 0.7883,                0.64069,                0.69496,                0.37774,                 1.3794,                0.85817,                 1.5639,              0.0001139,              0.0001139,              0.0001139
                     41,                 1.0972,                 0.5974,                 1.3151,                0.81538,                0.63711,                0.68809,                0.37429,                 1.3766,                0.85512,                 1.5469,               0.000104,               0.000104,               0.000104
                     42,                 1.0698,                0.57567,                 1.3054,                0.81849,                0.64578,                0.69399,                0.37738,                 1.3784,                0.86553,                 1.5568,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                 1.0672,                0.56961,                 1.2969,                0.83671,                0.63636,                0.70051,                0.38331,                 1.3559,                0.84354,                 1.5348,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                 1.0526,                0.56163,                 1.2904,                0.84255,                0.63564,                0.70285,                0.38211,                 1.3534,                 0.8445,                 1.5322,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                 1.0491,                0.55862,                 1.2887,                0.83533,                0.63738,                0.69697,                0.38373,                 1.3408,                0.84748,                 1.5308,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                 1.0405,                0.55239,                 1.2749,                0.82284,                0.64723,                0.70609,                0.38227,                 1.3423,                0.82949,                 1.5272,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                 1.0334,                0.54794,                  1.276,                0.81872,                0.64867,                0.70319,                0.38271,                 1.3494,                0.83149,                 1.5382,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                 1.0265,                0.54329,                 1.2665,                0.83219,                0.64228,                0.70358,                0.38529,                  1.354,                0.83804,                 1.5354,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                 1.0254,                0.54065,                  1.264,                0.80354,                0.65197,                0.69985,                0.37998,                 1.3516,                0.83262,                 1.5356,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                 1.0228,                0.53712,                 1.2645,                0.82956,                0.63922,                0.70283,                0.38383,                 1.3524,                0.83198,                 1.5353,               1.49e-05,               1.49e-05,               1.49e-05
