                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0613,                0.67888,                  1.269,                0.81351,                0.65185,                0.70231,                0.38052,                 1.3531,                0.86498,                 1.5414,              0.0001634,              0.0001634,              0.0001634
                     36,                 1.0521,                0.67481,                 1.2698,                0.75807,                0.67588,                0.70638,                0.38111,                 1.3788,                 0.8604,                 1.5619,              0.0001535,              0.0001535,              0.0001535
                     37,                 1.0419,                0.66742,                 1.2675,                0.81413,                0.66117,                0.70782,                0.37921,                 1.3606,                0.87073,                 1.5533,              0.0001436,              0.0001436,              0.0001436
                     38,                 1.0487,                0.66388,                 1.2557,                0.79413,                0.65734,                0.69607,                0.37647,                 1.3689,                0.86511,                 1.5602,              0.0001337,              0.0001337,              0.0001337
                     39,                 1.0363,                0.66477,                 1.2662,                0.81787,                0.64339,                0.70239,                 0.3767,                 1.3618,                0.87775,                 1.5502,              0.0001238,              0.0001238,              0.0001238
                     40,                  1.025,                0.65439,                 1.2577,                 0.8079,                0.64673,                0.70242,                0.37947,                 1.3559,                 0.8652,                 1.5433,              0.0001139,              0.0001139,              0.0001139
                     41,                 1.0527,                0.58911,                 1.3133,                0.76205,                0.65753,                0.69911,                0.37184,                 1.3526,                0.86599,                 1.5389,               0.000104,               0.000104,               0.000104
                     42,                 1.0295,                0.56974,                 1.2934,                0.78164,                0.65415,                0.70056,                0.37376,                 1.3529,                0.87111,                 1.5416,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                 1.0213,                0.56348,                 1.2815,                0.76062,                0.66067,                0.69357,                0.37387,                 1.3345,                0.86736,                  1.535,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                 1.0185,                0.55374,                 1.2764,                0.77892,                0.64911,                0.69875,                0.37702,                 1.3415,                0.85993,                 1.5362,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                 1.0104,                0.55121,                  1.277,                0.76802,                0.66328,                0.69706,                0.38009,                 1.3353,                 0.8445,                 1.5306,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                0.99648,                0.54023,                 1.2659,                0.77414,                0.66951,                0.69976,                0.38404,                 1.3263,                0.84324,                 1.5313,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                0.99641,                0.53374,                 1.2621,                0.74111,                0.66929,                0.69706,                 0.3792,                  1.335,                 0.8479,                 1.5347,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                0.98536,                 0.5324,                 1.2555,                0.76197,                0.65023,                0.69689,                0.37805,                  1.339,                0.84973,                 1.5368,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                0.97889,                0.52766,                 1.2484,                0.76868,                 0.6584,                 0.6984,                  0.381,                 1.3431,                 0.8423,                 1.5407,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                0.98045,                0.52581,                 1.2539,                0.77446,                0.65283,                0.69847,                0.38143,                 1.3341,                0.84767,                 1.5354,               1.49e-05,               1.49e-05,               1.49e-05
